cliente_id,nome,cpf,email,telefone,cidade,estado,data_cadastro
1,Cliente 1,770.429.576-66,,(21) 98244-4501,Niterói,RJ,2023-05-27
2,Cliente 2,912.915.853-31,,(21) 92389-5649,Niterói,RJ,2022-08-27
3,Cliente 3,748.734.443-21,,(21) 94848-6085,Niterói,RJ,2023-09-21
4,Cliente 4,250.125.147-41,,(21) 98784-2193,São Paulo,SP,2021-02-11
5,Cliente 5,744.689.299-99,,(21) 97291-9099,Curitiba,PR,2022-04-28
6,Cliente 6,251.771.804-10,,(21) 92746-7965,Curitiba,PR,2021-05-14
7,Cliente 7,923.812.630-69,,(21) 91822-5082,São Paulo,SP,2020-12-26
8,Cliente 8,236.920.575-95,,(21) 99702-6198,Rio de Janeiro,RJ,2022-07-23
9,Cliente 9,934.836.616-64,,(21) 99976-8305,Curitiba,PR,2023-06-08
10,Cliente 10,560.365.869-41,,(21) 95543-9540,São Paulo,SP,2022-08-30
11,Cliente 11,344.381.550-19,,(21) 95681-4841,Curitiba,PR,2023-07-07
12,Cliente 12,427.653.182-27,,(21) 93471-4788,Belo Horizonte,MG,2021-11-18
13,Cliente 13,823.319.165-63,,(21) 97678-6421,Curitiba,PR,2020-11-08
14,Cliente 14,525.163.311-63,,(21) 97381-1320,Niterói,RJ,2022-08-12
15,Cliente 15,588.106.460-48,,(21) 97389-7865,Niterói,RJ,2022-02-18
16,Cliente 16,919.717.325-72,,(21) 94595-5471,Niterói,RJ,2023-01-23
17,Cliente 17,129.498.444-95,,(21) 97624-3704,Curitiba,PR,2022-09-21
18,Cliente 18,737.646.127-60,,(21) 91444-2375,Curitiba,PR,2020-09-18
19,Cliente 19,987.572.286-16,,(21) 95262-7211,Curitiba,PR,2020-10-04
20,Cliente 20,565.434.445-58,,(21) 95558-7906,Belo Horizonte,MG,2021-03-09
21,Cliente 21,581.119.867-79,,(21) 91853-6733,Belo Horizonte,MG,2020-06-16
22,Cliente 22,170.899.767-15,,(21) 91508-5051,São Paulo,SP,2023-08-24
23,Cliente 23,736.256.344-26,,(21) 98758-2874,São Paulo,SP,2020-02-11
24,Cliente 24,576.816.362-57,,(21) 93749-2876,Niterói,RJ,2021-03-22
25,Cliente 25,210.692.126-49,,(21) 97149-7498,São Paulo,SP,2021-09-29
26,Cliente 26,706.807.950-90,,(21) 94978-2669,São Paulo,SP,2020-06-04
27,Cliente 27,924.223.915-82,,(21) 91672-6688,Belo Horizonte,MG,2023-05-14
